title,genres,vote_average,popularity
To Die For,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",6.7,10.448481
How To Make An American Quilt,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,4.485958
Se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",8.1,18.45743
Pocahontas,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.7,13.280069
When Night Is Falling,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.9,3.302524
The Usual Suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",8.1,16.302466
Guardian Angel,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.3,0.595949
Mighty Aphrodite,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.7,15.899134
Lamerica,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",7.7,1.361286
The Big Green,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.2,5.982764
Georgia,"[{'id': 18, 'name': 'Drama'}]",6.1,4.093443
Kids of the Round Table,[],3.0,0.307075
Home for the Holidays,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.3,8.416802
The Postman,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.6,10.168437
The Confessional,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",6.5,0.120789
The Indian in the Cupboard,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",5.9,10.673296
Eye for an Eye,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.8,4.733526
Mr. Holland's Opus,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.9,7.137117
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"[{'id': 35, 'name': 'Comedy'}]",6.2,11.700115
Two If by Sea,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",4.5,2.174487
Bio-Dome,"[{'id': 35, 'name': 'Comedy'}]",4.4,6.387469
Lawnmower Man 2: Beyond Cyberspace,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",2.8,2.49535
Two Bits,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.4,4.046208
French Twist,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.0,2.518051
Friday,"[{'id': 35, 'name': 'Comedy'}]",7.0,14.56965
From Dusk Till Dawn,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.9,15.339153
Fair Game,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",4.1,5.912223
Kicking and Screaming,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.0,3.367276
Les Miserables,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",6.6,1.479446
Bed of Roses,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.1,10.412194
Big Bully,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",3.9,2.936443
Screamers,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",6.1,12.758848
Nico Icon,"[{'id': 99, 'name': 'Documentary'}]",7.3,0.133893
The Crossing Guard,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.1,5.756462
The Juror,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.5,6.010579
The White Balloon,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",7.5,1.196256
Things to Do in Denver When You're Dead,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.7,4.486179
Antonia's Line,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.2,2.030174
Once Upon a Time... When We Were Colored,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",4.5,0.252287
Last Summer in the Hamptons,[],0.0,0.531159
Angels and Insects,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.3,2.15166
White Squall,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",6.3,9.568604
Dunston Checks In,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.1,4.814825
Black Sheep,"[{'id': 35, 'name': 'Comedy'}]",6.0,8.963037
Nick of Time,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.1,6.848591
The Journey of August King,"[{'id': 18, 'name': 'Drama'}]",6.7,0.411424
Mary Reilly,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",5.7,12.866139
Vampire in Brooklyn,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",4.5,9.071127
Beautiful Girls,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.6,4.670562
Broken Arrow,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.7,14.957626
A Midwinter's Tale,"[{'id': 35, 'name': 'Comedy'}]",7.5,0.513391
La Haine,"[{'id': 18, 'name': 'Drama'}]",7.9,12.108196
Shopping,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5.6,2.657647
Heidi Fleiss: Hollywood Madam,"[{'id': 99, 'name': 'Documentary'}]",6.8,0.638211
City Hall,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.0,4.807223
Bottle Rocket,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.8,6.904831
Mr. Wrong,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",3.3,3.329264
Unforgettable,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5.3,2.464425
Happy Gilmore,"[{'id': 35, 'name': 'Comedy'}]",6.5,9.592265
The Bridges of Madison County,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.3,5.951077
Nobody Loves Me,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",5.1,1.015068
Muppet Treasure Island,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",6.5,6.902423
Catwalk,"[{'id': 99, 'name': 'Documentary'}]",7.0,0.976707
Headless Body in Topless Bar,"[{'id': 80, 'name': 'Crime'}]",0.0,0.001346
Braveheart,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",7.7,20.755149
Taxi Driver,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",8.1,14.092713
Rumble in the Bronx,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",6.5,12.314278
Before and After,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",5.8,2.938293
Margaret's Museum,"[{'id': 18, 'name': 'Drama'}]",7.5,0.372697
Happiness Is in the Field,"[{'id': 35, 'name': 'Comedy'}]",7.0,1.254885
Anne Frank Remembered,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",7.3,0.243986
The Young Poisoner's Handbook,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.9,6.178497
If Lucy Fell,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.4,2.891918
Steal Big Steal Little,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.1,1.522412
Race the Sun,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.2,1.317878
The Boys of St. Vincent,"[{'id': 18, 'name': 'Drama'}]",7.0,0.86539
Boomerang,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",5.4,6.506983
Chungking Express,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7.9,6.778979
The Star Maker,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.8,1.702639
Flirting with Disaster,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.3,5.579088
The Neverending Story III: Escape from Fantasia,"[{'id': 14, 'name': 'Fantasy'}]",4.4,6.252377
The Silences of the Palace,"[{'id': 18, 'name': 'Drama'}]",4.3,0.406754
Jupiter's Wife,[],0.0,0.001178
Pie in the Sky,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",7.0,0.699066
Angela,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",5.6,2.197439
Frankie Starlight,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",5.4,0.637554
Jade,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",5.1,11.418917
Nueba Yol,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.5,0.291021
Sonic Outlaws,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",0.0,0.001838
Down Periscope,"[{'id': 35, 'name': 'Comedy'}]",5.6,5.184977
From the Journals of Jean Seberg,"[{'id': 99, 'name': 'Documentary'}]",6.5,0.276401
Man of the Year,"[{'id': 35, 'name': 'Comedy'}]",3.8,0.540436
The Neon Bible,"[{'id': 18, 'name': 'Drama'}]",7.2,0.370342
Target,[],0.0,0.001205
Up Close & Personal,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.9,3.402749
The Birdcage,"[{'id': 35, 'name': 'Comedy'}]",6.7,6.49968
Virgin Mary,"[{'id': 18, 'name': 'Drama'}]",7.0,0.918504
The Brothers McMullen,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.3,2.039196
Bad Boys,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.5,9.262184
The Amazing Panda Adventure,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",5.0,2.375865
The Basketball Diaries,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.2,7.415144
An Awfully Big Adventure,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.0,0.922958
Amateur,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.5,1.759012
Apollo 13,"[{'id': 18, 'name': 'Drama'}]",7.3,18.761467
Rob Roy,"[{'id': 12, 'name': 'Adventure'}]",6.5,10.193549
The Addiction,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",6.4,3.137285
Batman Forever,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]",5.2,13.321354
Belle de Jour,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.3,10.142662
Beyond Rangoon,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.4,2.04189
Blue in the Face,"[{'id': 35, 'name': 'Comedy'}]",6.8,11.528147
Canadian Bacon,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",5.9,5.391556
Casper,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.0,12.812539
Clockers,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.8,4.558992
Congo,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5.0,7.260574
Crimson Tide,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",7.0,8.657365
Crumb,"[{'id': 99, 'name': 'Documentary'}]",7.6,3.620388
Desperado,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",6.8,6.950458
Devil in a Blue Dress,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",6.3,4.646132
Die Hard: With a Vengeance,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.9,15.138855
The Doom Generation,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",5.6,7.120806
Feast of July,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",0.0,0.523575
First Knight,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.9,15.178338
Free Willy 2 - The Adventure Home,"[{'id': 12, 'name': 'Adventure'}]",5.5,7.575098
Hackers,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.2,14.810519
Jeffrey,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,3.196456
Johnny Mnemonic,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",5.5,11.715868
Judge Dredd,"[{'id': 878, 'name': 'Science Fiction'}]",5.4,8.184815
Jury Duty,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",4.0,3.676921
Kids,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",6.8,4.877872
Living in Oblivion,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.2,10.058329
Lord of Illusions,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.9,4.102409
Love & Human Remains,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.0,0.354014
Mad Love,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",5.5,2.624771
Mallrats,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",6.8,8.25547
Mighty Morphin Power Rangers: The Movie,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",5.2,7.024227
Moonlight and Valentino,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",5.6,1.01115
Mute Witness,"[{'id': 53, 'name': 'Thriller'}, {'id': 10769, 'name': 'Foreign'}]",6.4,2.466066
Nadja,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5.9,7.720056
The Net,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",5.6,13.304342
Nine Months,"[{'id': 35, 'name': 'Comedy'}]",5.5,8.482834
Party Girl,"[{'id': 35, 'name': 'Comedy'}]",5.8,1.165039
The Prophecy,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",6.4,10.187623
Reckless,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",10.0,0.119713
Safe,"[{'id': 18, 'name': 'Drama'}]",7.2,8.180047
The Scarlet Letter,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",5.5,6.752119
The Show,"[{'id': 99, 'name': 'Documentary'}]",5.3,0.159596
Showgirls,"[{'id': 18, 'name': 'Drama'}]",4.9,17.502375
Smoke,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.2,5.552946
Something to Talk About,"[{'id': 35, 'name': 'Comedy'}]",5.7,3.743212
Species,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",5.5,13.492845
The Stars Fell on Henrietta,"[{'id': 18, 'name': 'Drama'}]",6.6,0.913522
Strange Days,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.8,11.223055
The Umbrellas of Cherbourg,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",7.6,8.133881
The Tie That Binds,"[{'id': 53, 'name': 'Thriller'}]",4.6,1.820419
Three Wishes,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",6.1,11.002046
Total Eclipse,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,4.546552
"To Wong Foo, Thanks for Everything! Julie Newmar","[{'id': 35, 'name': 'Comedy'}]",6.3,7.653446
Under Siege 2: Dark Territory,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",5.6,7.490247
Unstrung Heroes,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",6.4,2.881689
Unzipped,"[{'id': 99, 'name': 'Documentary'}]",6.0,0.786023
A Walk in the Clouds,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",6.5,9.715639
Waterworld,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",5.9,16.885184
White Man's Burden,"[{'id': 18, 'name': 'Drama'}]",5.1,1.834099
Wild Bill,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]",5.9,8.922139
The Browning Version,"[{'id': 18, 'name': 'Drama'}]",6.0,3.727644
Bushwhacked,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10751, 'name': 'Family'}]",4.9,3.287036
Burnt by the Sun,"[{'id': 18, 'name': 'Drama'}]",6.7,2.486073
